brand,model,year,mileage,fuel_type,transmission,engine,body_type,listed_price,image_url,color,horsepower,top_speed,location
Audi,RS6 Avant,2017,80000,hybrid,automatic,2.5,Sedan,5300000,https://images.unsplash.com/photo-1492144534655-ae79c964c9d7?auto=format&fit=crop&w=800&q=80,Black,501,288,Berlin
Rolls-Royce,Phantom,2021,21018,petrol,automatic,6.0,Sedan,73800000,https://images.unsplash.com/photo-1503376780353-7e6692767b70?auto=format&fit=crop&w=800&q=80,Orange,696,276,Bangalore
BMW,M8 Gran Coupe,2023,7463,hybrid,manual,2.5,Coupe,9100000,https://images.unsplash.com/photo-1494976388531-d1058494cdd8?auto=format&fit=crop&w=800&q=80,Orange,442,220,Bangalore
Ferrari,Portofino M,2023,12027,hybrid,automatic,4.5,Convertible,57900000,https://images.unsplash.com/photo-1544636331-e26879cd4d9b?auto=format&fit=crop&w=800&q=80,Black,797,329,Pune
Mercedes-Benz,C 63 AMG,2024,0,electric,automatic,2.5,Sedan,10800000,https://images.unsplash.com/photo-1555215695-3004980ad54e?auto=format&fit=crop&w=800&q=80,Silver,605,271,New York
Aston Martin,DB11,2017,31413,hybrid,manual,5.0,Coupe,51900000,https://images.unsplash.com/photo-1618843986949-d8a857ba498e?auto=format&fit=crop&w=800&q=80,Silver,659,306,New York
Mercedes-Benz,GLE 63 AMG,2015,62212,diesel,automatic,2.5,SUV,5900000,https://images.unsplash.com/photo-1583121274602-3e2820c69888?auto=format&fit=crop&w=800&q=80,Grey,230,192,Delhi
McLaren,GT,2023,8507,petrol,automatic,4.0,Coupe,74900000,https://images.unsplash.com/photo-1514867644212-2e5e7bb0b781?auto=format&fit=crop&w=800&q=80,Orange,571,316,Delhi
Aston Martin,DB11,2016,80000,petrol,automatic,4.5,Coupe,37500000,https://images.unsplash.com/photo-1549317661-bd32c8ce0db4?auto=format&fit=crop&w=800&q=80,Green,627,326,Mumbai
Porsche,911 Turbo S,2022,13558,petrol,automatic,3.5,Coupe,15300000,https://images.unsplash.com/photo-1548036161-17b421e11c7d?auto=format&fit=crop&w=800&q=80,Black,614,316,London
Aston Martin,Valkyrie,2015,43703,hybrid,automatic,4.0,Coupe,29400000,https://images.unsplash.com/photo-1504215680853-026ed2a45def?auto=format&fit=crop&w=800&q=80,Silver,600,306,New York
Porsche,Cayenne,2023,5569,petrol,automatic,2.5,SUV,24100000,https://images.unsplash.com/photo-1519641471654-ac36d0a5e4c7?auto=format&fit=crop&w=800&q=80,Green,569,292,London
Bentley,Azure,2017,75073,petrol,automatic,6.0,Convertible,90700000,https://images.unsplash.com/photo-1568605117036-5fe5e7bab0b7?auto=format&fit=crop&w=800&q=80,Black,553,271,London
Lamborghini,Huracan,2023,11176,petrol,automatic,5.0,Coupe,69000000,https://images.unsplash.com/photo-1617531038320-7ec30c7c7d41?auto=format&fit=crop&w=800&q=80,Grey,712,338,New York
Mercedes-Benz,AMG GT,2017,42910,hybrid,automatic,2.0,Coupe,9200000,https://images.unsplash.com/photo-1563720223185-11003d516935?auto=format&fit=crop&w=800&q=80,Blue,531,227,New York
Rolls-Royce,Cullinan,2020,33150,petrol,automatic,6.0,SUV,78100000,https://images.unsplash.com/photo-1533473359331-0135ef1b58bf?auto=format&fit=crop&w=800&q=80,Grey,669,264,Delhi
Rolls-Royce,Spectre,2015,49134,electric,automatic,6.0,Coupe,71900000,https://images.unsplash.com/photo-1541899481282-d53bffe3c35d?auto=format&fit=crop&w=800&q=80,Yellow,625,276,Berlin
Rolls-Royce,Spectre,2019,54197,petrol,automatic,6.0,Coupe,75900000,https://images.unsplash.com/photo-1606016159991-d5f0f2f3c1dd?auto=format&fit=crop&w=800&q=80,Red,640,271,Bangalore
BMW,7 Series,2023,4418,hybrid,automatic,2.5,Sedan,7900000,https://images.unsplash.com/photo-1571607388263-1044f9ea01eb?auto=format&fit=crop&w=800&q=80,White,323,214,Dubai
BMW,7 Series,2021,24006,petrol,manual,3.5,Sedan,7400000,https://images.unsplash.com/photo-1612825173281-9a193fc0a671?auto=format&fit=crop&w=800&q=80,White,444,231,Bangalore
Audi,RS7,2021,31138,hybrid,automatic,3.0,Sedan,7800000,https://images.unsplash.com/photo-1525609004556-c46c7d6cf023?auto=format&fit=crop&w=800&q=80,Orange,495,223,New York
Bentley,Azure,2019,26832,petrol,automatic,5.5,Convertible,77500000,https://images.unsplash.com/photo-1605559911160-a3d95d213904?auto=format&fit=crop&w=800&q=80,Black,631,282,Dubai
Rolls-Royce,Cullinan,2017,67460,electric,automatic,4.5,SUV,72400000,https://images.unsplash.com/photo-1583267702599-0197efa17985?auto=format&fit=crop&w=800&q=80,Silver,688,242,Bangalore
Rolls-Royce,Cullinan,2021,19137,electric,automatic,4.5,SUV,102900000,https://images.unsplash.com/photo-1555652736-e92021d28359?auto=format&fit=crop&w=800&q=80,Red,584,269,Delhi
Lamborghini,Aventador,2019,50457,petrol,automatic,5.0,Coupe,47900000,https://images.unsplash.com/photo-1507003211169-0a1dd7228f2d?auto=format&fit=crop&w=800&q=80,Green,607,329,Berlin
Lamborghini,Urus,2015,80000,petrol,automatic,6.0,SUV,51700000,https://images.unsplash.com/photo-1590362891991-f776e747a588?auto=format&fit=crop&w=800&q=80,Silver,671,334,Berlin
Audi,RS7,2016,76355,petrol,automatic,3.5,Sedan,6000000,https://images.unsplash.com/photo-1568605354853-d7f6d4a0b53a?auto=format&fit=crop&w=800&q=80,Green,228,192,Delhi
BMW,X5 M,2017,76897,diesel,automatic,3.5,SUV,4900000,https://images.unsplash.com/photo-1600706432502-fc9d1fd2b1b1?auto=format&fit=crop&w=800&q=80,Orange,433,237,Mumbai
Ferrari,488 GTB,2018,52264,petrol,automatic,4.5,Coupe,43000000,https://images.unsplash.com/photo-1612544448445-b8232cff3b6c?auto=format&fit=crop&w=800&q=80,Silver,714,307,Pune
Rolls-Royce,Wraith,2016,80000,electric,automatic,6.5,Coupe,72100000,https://images.unsplash.com/photo-1558618666-fcd25c85cd64?auto=format&fit=crop&w=800&q=80,Orange,540,266,London
Bentley,Azure,2024,0,hybrid,automatic,4.5,Convertible,96000000,https://images.unsplash.com/photo-1614886137095-0b3c5c49fe84?auto=format&fit=crop&w=800&q=80,Blue,682,305,Dubai
Lamborghini,Urus Performante,2019,26254,petrol,automatic,5.5,SUV,55000000,https://images.unsplash.com/photo-1615197348966-21c70c4e5e2e?auto=format&fit=crop&w=800&q=80,Black,634,321,Pune
Bentley,Continental GT,2024,1873,petrol,automatic,5.0,Coupe,92100000,https://images.unsplash.com/photo-1619682817613-75e15e3fe89d?auto=format&fit=crop&w=800&q=80,Orange,573,274,Mumbai
Lamborghini,Urus Performante,2020,41093,petrol,automatic,5.5,SUV,56700000,https://images.unsplash.com/photo-1590675773-4b9e4dc7a6c1?auto=format&fit=crop&w=800&q=80,Silver,747,317,Dubai
Lamborghini,Huracan,2023,7030,petrol,automatic,5.5,Coupe,73000000,https://images.unsplash.com/photo-1593291742-c4e8a4af38b5?auto=format&fit=crop&w=800&q=80,Red,600,326,Delhi
Porsche,Macan,2022,20669,hybrid,automatic,3.5,SUV,22100000,https://images.unsplash.com/photo-1606107557195-0e29a4b5b4aa?auto=format&fit=crop&w=800&q=80,Grey,621,280,Delhi
BMW,iX,2024,0,petrol,automatic,2.0,SUV,10900000,https://images.unsplash.com/photo-1580274455191-1c62773470e3?auto=format&fit=crop&w=800&q=80,Green,465,248,Delhi
Audi,e-tron GT,2024,321,hybrid,automatic,3.0,Sedan,11000000,https://images.unsplash.com/photo-1600709453047-c6abb10af14d?auto=format&fit=crop&w=800&q=80,Black,456,278,Mumbai
Porsche,Taycan,2017,39966,petrol,automatic,2.5,Sedan,15000000,https://images.unsplash.com/photo-1621361365424-06f0e1eb5b49?auto=format&fit=crop&w=800&q=80,Black,390,320,New York
Audi,R8,2019,32195,electric,automatic,2.5,Coupe,8800000,https://images.unsplash.com/photo-1546614042-7df3c24c9e5d?auto=format&fit=crop&w=800&q=80,Silver,230,260,Delhi
